2026-07-04 14:19:37.556 | ERROR    | pipeline:send_data:110 - Go-сервер вернул ошибку 500: Internal Server Error
2026-07-04 14:19:37.558 | ERROR    | pipeline:send_data:116 - Сетевая ошибка при отправке на Go-бэкенд: Сервер не отвечает
2026-07-04 14:19:37.592 | ERROR    | pipeline:get_hash:52 - Ошибка вычисления хэша для non_existent_file.pdf: [Errno 2] No such file or directory: 'non_existent_file.pdf'
2026-07-04 14:28:17.763 | ERROR    | parser.docx_parser:parse:43 - Ошибка при чтении DOCX файла C:\Users\user\AppData\Local\Temp\pytest-of-user\pytest-20\test_parser_file_not_found0\does_not_exist.docx: Package not found at 'C:\Users\user\AppData\Local\Temp\pytest-of-user\pytest-20\test_parser_file_not_found0\does_not_exist.docx'
2026-07-04 14:28:17.768 | ERROR    | pipeline:send_data:110 - Go-сервер вернул ошибку 500: Internal Server Error
2026-07-04 14:28:17.769 | ERROR    | pipeline:send_data:116 - Сетевая ошибка при отправке на Go-бэкенд: Сервер не отвечает
2026-07-04 14:28:17.817 | ERROR    | pipeline:get_hash:52 - Ошибка вычисления хэша для non_existent_file.pdf: [Errno 2] No such file or directory: 'non_existent_file.pdf'
2026-07-04 14:30:02.675 | ERROR    | __main__:send_data:116 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 14:30:16.734 | ERROR    | __main__:send_data:116 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 14:30:30.779 | ERROR    | __main__:send_data:116 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 14:30:44.864 | ERROR    | __main__:send_data:116 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 14:35:35.544 | ERROR    | __main__:send_data:116 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 17:18:34.042 | ERROR    | __main__:send_data:116 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 17:18:48.137 | ERROR    | __main__:send_data:116 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 17:19:02.203 | ERROR    | __main__:send_data:116 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 17:19:16.239 | ERROR    | __main__:send_data:116 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 17:19:30.307 | ERROR    | __main__:send_data:116 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 17:19:56.096 | ERROR    | __main__:send_data:116 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 17:20:00.168 | ERROR    | __main__:send_data:116 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 17:20:14.417 | ERROR    | __main__:send_data:116 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 17:20:18.453 | ERROR    | __main__:send_data:116 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 18:13:51.648 | ERROR    | parser.pdf_parser:parse:70 - Ошибка парсинга PDF-файла missing.pdf: [Errno 2] No such file or directory: 'C:\\Users\\user\\AppData\\Local\\Temp\\pytest-of-user\\pytest-21\\test_pdf_parser_robustness0\\missing.pdf'
2026-07-04 18:25:47.984 | ERROR    | __main__:send_data:117 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 18:25:47.984 | ERROR    | __main__:send_data:117 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 18:25:52.022 | ERROR    | __main__:send_data:117 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 18:25:52.022 | ERROR    | __main__:send_data:117 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 18:26:06.303 | ERROR    | __main__:send_data:117 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 18:26:06.303 | ERROR    | __main__:send_data:117 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 18:26:10.390 | ERROR    | __main__:send_data:117 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 18:26:10.390 | ERROR    | __main__:send_data:117 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 18:31:28.674 | ERROR    | __main__:process_file:203 - Ошибка в ML-модуле при обработке 4th International Symposium on High-Temperature Metallurgical Processing.pdf: [E088] Text of length 1365612 exceeds maximum of 1000000. The parser and NER models require roughly 1GB of temporary memory per 100,000 characters in the input. This means long texts may cause memory allocation errors. If you're not using the parser or NER, it's probably safe to increase the `nlp.max_length` limit. The limit is in number of characters, so you can check whether your inputs are too long by checking `len(text)`.
2026-07-04 18:31:28.674 | ERROR    | __main__:process_file:203 - Ошибка в ML-модуле при обработке 4th International Symposium on High-Temperature Metallurgical Processing.pdf: [E088] Text of length 1365612 exceeds maximum of 1000000. The parser and NER models require roughly 1GB of temporary memory per 100,000 characters in the input. This means long texts may cause memory allocation errors. If you're not using the parser or NER, it's probably safe to increase the `nlp.max_length` limit. The limit is in number of characters, so you can check whether your inputs are too long by checking `len(text)`.
